track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_electronic_prob,predicted_pop_prob,predicted_rnb_prob
3TZ7NHkMT82AhwuYsd00Hz,Your eyes tell,3Nrfpe0tUJi4K4DXYWgMUX,BTS,1nScVw87kRJiT2bg2Kswhp,245146,2020-07-14,79,0.449,0.491,9,0.7294575230296826,0,0.028999999999999998,0.27899999999999997,0.0,0.0654,0.258,0.5374850785759117,1,pop,0.64,0.10714285714285714,0.6785714285714286,0.21428571428571427
4GVwjLRT7oSsKby7Vy8EHr,Skit,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2qehskW9lYGWfYb0xPZkrS,179547,2020-11-20,78,0.703,0.321,4,0.45506653019447285,1,0.884,0.8640000000000001,0.0,0.9079999999999999,0.544,0.3830344946405937,2,rnb,0.64,0.0,0.2857142857142857,0.7142857142857143
1OqDvYVDhJyFZny7XlfIyZ,Let Go,3Nrfpe0tUJi4K4DXYWgMUX,BTS,66J1OXSaS3hBZASOV3el8t,299706,2018-04-04,72,0.5579999999999999,0.863,4,0.8483111566018422,1,0.17800000000000002,0.17,0.0,0.289,0.38799999999999996,0.7466003765736717,1,pop,0.64,0.21428571428571427,0.6071428571428571,0.17857142857142858
3r9FFjLrAIQjoR8pSHVPC9,Outro : Ego,3Nrfpe0tUJi4K4DXYWgMUX,BTS,6mJZTV8lCqnwftYZa94bXS,196198,2020-02-21,74,0.8079999999999999,0.903,0,0.8656704196519958,1,0.0958,0.0121,0.000233,0.0993,0.473,0.3963622491047145,0,electronic,0.64,0.7142857142857143,0.2857142857142857,0.0
44WLOqH7QayQOQdeUHeKUK,We are Bulletproof : the Eternal,3Nrfpe0tUJi4K4DXYWgMUX,BTS,6mJZTV8lCqnwftYZa94bXS,261542,2020-02-21,78,0.526,0.575,9,0.7793244626407368,0,0.0309,0.225,0.0,0.10800000000000001,0.19,0.1936708549206858,1,pop,0.64,0.07142857142857142,0.6785714285714286,0.25
2ezpl1QGsrICxQwl039Yoe,Outro : Ego,3Nrfpe0tUJi4K4DXYWgMUX,BTS,7HXqq0fokRpOKG0bQW4xnB,196198,2020-02-21,0,0.8079999999999999,0.903,0,0.8656704196519958,1,0.0958,0.0121,0.000233,0.0993,0.473,0.3963622491047145,0,electronic,0.64,0.7142857142857143,0.2857142857142857,0.0
3bHKTyjnhkhCOpTDYTMZmN,We are Bulletproof : the Eternal,3Nrfpe0tUJi4K4DXYWgMUX,BTS,7HXqq0fokRpOKG0bQW4xnB,261542,2020-02-21,0,0.526,0.575,9,0.7793244626407368,0,0.0309,0.225,0.0,0.10800000000000001,0.19,0.1936708549206858,1,pop,0.64,0.07142857142857142,0.6785714285714286,0.25
22ryCgQttpV7oCrn7llGRu,Magic Shop,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2jJfnAZE6IG3oYnUv2eCj4,275695,2018-05-18,70,0.541,0.6609999999999999,1,0.7538178096212895,1,0.0889,0.10300000000000001,0.0,0.0779,0.285,0.5990351837950258,1,pop,0.62,0.21428571428571427,0.6428571428571429,0.14285714285714285
3MpwwsTFVtbEunR1dUMJUc,DNA (Pedal 2 LA Mix),3Nrfpe0tUJi4K4DXYWgMUX,BTS,2lATw9ZAVp7ILQcOKPCPqp,247483,2018-08-24,57,0.488,0.955,1,0.8519959058341862,0,0.134,0.0352,0.0,0.301,0.48,0.4762549379145695,0,electronic,0.62,0.5714285714285714,0.42857142857142855,0.0
4AlihYDqxXshKhvh5tnMfP,00:00 (Zero O’Clock),3Nrfpe0tUJi4K4DXYWgMUX,BTS,6mJZTV8lCqnwftYZa94bXS,250295,2020-02-21,76,0.5660000000000001,0.5479999999999999,1,0.7285158648925281,1,0.0579,0.0802,0.0,0.11,0.196,0.6487096813891384,1,pop,0.62,0.14285714285714285,0.5714285714285714,0.2857142857142857
