track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_electronic_prob,predicted_pop_prob,predicted_rnb_prob
4N0XG7hGoVnUKI2kuRGN1u,Kisapmata,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,65GkUxR6lYlCiYP4mqyZl1,280946,2001,56,0.43200000000000005,0.563,2,0.6710045662100457,1,0.0309,0.0877,0.00035499999999999996,0.294,0.397,0.5425382742488559,4N0XG7hGoVnUKI2kuRGN1u,4N0XG7hGoVnUKI2kuRGN1u,1,pop,0.52,0.35714285714285715,0.5357142857142857,0.10714285714285714
2VPHeRygciDEymfsIvvf5V,Kasalanan Ba,4a1CxpiFxdmQAYiFPi43HZ,MEN OPPOSE,05xAozlqw1LVOmiZO87bny,274600,2011-11-02,0,0.341,0.384,7,0.5014611872146119,1,0.0284,0.33399999999999996,4.5e-06,0.10300000000000001,0.265,0.15787729294937985,2VPHeRygciDEymfsIvvf5V,2VPHeRygciDEymfsIvvf5V,1,pop,0.52,0.0,0.5714285714285714,0.42857142857142855
1WCkrAIK7AvmbGVZk93axW,You Make My World Stop,1SrWbIDP84JcSDr0oTBAQw,Matthaios,37lv7eQvXl9JQVSs7Fd4fs,146526,2021-01-27,30,0.665,0.365,9,0.5795890410958904,1,0.33899999999999997,0.551,0.0,0.10400000000000001,0.87,0.8841064667864929,1WCkrAIK7AvmbGVZk93axW,1WCkrAIK7AvmbGVZk93axW,2,rnb,0.52,0.0,0.8928571428571429,0.10714285714285714
5iCX8Y6vpwV5zQSEayM291,Umagang Kay Ganda,0c7d9V8rjfT6tzojfBfRf5,Bamboo,3kdYoCrhB4HN3HM4d0uzhC,246093,2007,44,0.479,0.84,2,0.849041095890411,1,0.0285,0.6779999999999999,0.0004,0.149,0.38799999999999996,0.27289125141815496,5iCX8Y6vpwV5zQSEayM291,5iCX8Y6vpwV5zQSEayM291,1,pop,0.52,0.17857142857142858,0.5714285714285714,0.25
5TCapuEt8iOpN36rIpiywB,Pilit,5MFYosu1XSt0H1AiEQIejD,Jo.e,6Gdpg6k3tkxRAXRfbhCYSy,186036,2020-02-21,19,0.684,0.43799999999999994,8,0.6772146118721462,1,0.159,0.33299999999999996,0.0,0.0675,0.48,0.56617843894604,5TCapuEt8iOpN36rIpiywB,5TCapuEt8iOpN36rIpiywB,2,rnb,0.52,0.0,0.6428571428571429,0.35714285714285715
3zLbBGrg2Vew48qu6JkFF0,8 pa,3oP7ApvM9dvIXP6AufxCxt,Grin Department,5OwcI85oeyGW11qnOPBG4a,285920,2009-10-15,0,0.5770000000000001,0.418,1,0.5769406392694063,1,0.051,0.353,0.0,0.11900000000000001,0.455,0.4265045189745944,3zLbBGrg2Vew48qu6JkFF0,3zLbBGrg2Vew48qu6JkFF0,1,pop,0.52,0.39285714285714285,0.4642857142857143,0.14285714285714285
6BZLjTOKBPqhq4xpOLkjrp,Nandyan Agad Ako,2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,0eLjp1QFnlSL8Oaoz17RRY,240178,2018-08-06,57,0.799,0.529,9,0.6544292237442922,1,0.0615,0.6609999999999999,0.0,0.0856,0.601,0.49077083891034723,6BZLjTOKBPqhq4xpOLkjrp,6BZLjTOKBPqhq4xpOLkjrp,1,pop,0.52,0.17857142857142858,0.5357142857142857,0.2857142857142857
2aWmeIEjQvAym47Noyc95b,Nandito Ako,1vlz5PDUCNuZJeuJoufQkN,Ogie Alcasid,5abrulEGtScU8nPKqytZ9A,207906,2002-09-11,0,0.368,0.429,7,0.59662100456621,1,0.0309,0.7140000000000001,0.0,0.687,0.504,0.4926765841906,2aWmeIEjQvAym47Noyc95b,2aWmeIEjQvAym47Noyc95b,2,rnb,0.52,0.0,0.75,0.25
07e7Tt9dcJca7JdxwEd304,Bitiw,1tXFYQZSAswt4JLB42lpye,Sponge Cola,4Jfm8pzDGoeDqWKf6Q5qO6,201306,2013,41,0.462,0.94,8,0.9917351598173516,1,0.12,0.14800000000000002,0.0,0.124,0.498,0.6319489591698854,07e7Tt9dcJca7JdxwEd304,07e7Tt9dcJca7JdxwEd304,1,pop,0.52,0.17857142857142858,0.39285714285714285,0.42857142857142855
2EqdBPn7IFykmJ3Eh7PlKw,Pilit,4iCXhwhRhgWLl57sj9hhbY,Hilera,3OL4V9E5OekKspuQRbZkxL,218746,2006,27,0.52,0.626,7,0.7551598173515982,1,0.0276,0.135,0.000682,0.0799,0.48200000000000004,0.5317921654110418,2EqdBPn7IFykmJ3Eh7PlKw,2EqdBPn7IFykmJ3Eh7PlKw,1,pop,0.52,0.14285714285714285,0.6428571428571429,0.21428571428571427
